id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
30953,DXAK,small_airport,Akpaka Airport,7.583,1.117,689.0,AF,TG,TG-P,Atakpamé,no,DXAK,,DXAK,,,https://en.wikipedia.org/wiki/Akpaka_Airport,
30954,DXDP,small_airport,Djangou Airport,10.800417,0.242372,886.0,AF,TG,TG-S,Dapaong,no,DXDP,,DXDP,,,https://en.wikipedia.org/wiki/Djangou_Airport,
30955,DXKP,small_airport,Kolokope Airport,7.803451,1.295966,591.0,AF,TG,TG-P,Anié,no,DXKP,,DXKP,,,https://en.wikipedia.org/wiki/Kolokope_Airport,
30956,DXMG,small_airport,Sansanné-Mango Airport,10.373011,0.471382,460.0,AF,TG,TG-S,Mango,no,DXMG,,DXMG,,,https://en.wikipedia.org/wiki/Sansann%C3%A9-Mango_Airport,
2143,DXNG,large_airport,Niamtougou International Airport,9.766675,1.090944,1515.0,AF,TG,TG-K,Niamtougou,no,DXNG,LRL,DXNG,,,https://en.wikipedia.org/wiki/Niamtougou_International_Airport,
30957,DXSK,small_airport,Sokodé Airport,8.994275,1.153004,1214.0,AF,TG,TG-C,Sokodé,no,DXSK,,DXSK,,,https://en.wikipedia.org/wiki/Sokode_Airport,
2144,DXXX,large_airport,Lomé–Tokoin International Airport,6.16561,1.25451,72.0,AF,TG,TG-M,Lomé,yes,DXXX,LFW,DXXX,,,https://en.wikipedia.org/wiki/Lom%C3%A9%E2%80%93Tokoin_International_Airport,Gnassingbe Eyadema International Airport
